"","analyte","community_2","season","n","min","max","median","mean","sd","gmean","gsd"
"109","Mn","Tucson Spanish","Winter",83,0.154,378,2.27,10.3,42.6,2.53,3.95
"110","Mn","Tucson Spanish","Monsoon",36,0.422,207,14.3,41.3,52.2,12.8,6.06
"111","Mo","Dewey-Humboldt","Winter",27,0.016,11,0.127,0.657,2.13,0.151,3.78
"112","Mo","Dewey-Humboldt","Monsoon",15,0.095,11.7,0.274,1.31,2.97,0.415,3.8
"113","Mo","Globe/Miami","Winter",68,0.066,5.48,0.335,0.597,0.934,0.372,2.29
"114","Mo","Globe/Miami","Monsoon",39,0.292,4.77,0.778,1.21,1.03,0.904,2.11
"115","Mo","Hayden/Winkelman","Winter",55,0.113,11.1,1.25,1.95,2.04,1.24,2.73
"116","Mo","Hayden/Winkelman","Monsoon",18,0.427,6.3,2.49,2.83,2.05,2.03,2.5
"117","Mo","Tucson","Winter",48,0.163,4.96,1.41,1.51,0.852,1.31,1.76
"118","Mo","Tucson","Monsoon",21,0.62,5.81,2.12,2.43,1.44,2.05,1.85
"119","Mo","Tucson Spanish","Winter",83,0.0078,20.2,2.45,2.87,2.87,2.07,2.65
"120","Mo","Tucson Spanish","Monsoon",36,1.11,25.6,4.38,5.92,4.82,4.82,1.85
"121","Ni","Dewey-Humboldt","Winter",27,0.0571,59.7,0.464,2.82,11.4,0.557,3.41
"122","Ni","Dewey-Humboldt","Monsoon",15,0.299,4.29,1.63,1.94,1.29,1.45,2.4
"123","Ni","Globe/Miami","Winter",68,0.0841,466,0.561,11.6,62,0.733,4.58
"124","Ni","Globe/Miami","Monsoon",39,0.185,68.8,1.62,4.32,11,1.98,2.77
"125","Ni","Hayden/Winkelman","Winter",55,0.083,1.72,0.452,0.506,0.301,0.431,1.81
"126","Ni","Hayden/Winkelman","Monsoon",18,0.336,4.18,1.03,1.43,1.05,1.11,2.1
"127","Ni","Tucson","Winter",48,0.129,7.81,0.545,0.886,1.22,0.594,2.23
"128","Ni","Tucson","Monsoon",21,0.37,17.4,0.806,1.93,3.62,1.1,2.39
"129","Ni","Tucson Spanish","Winter",83,0.0681,10.2,0.617,1.1,1.69,0.686,2.34
"130","Ni","Tucson Spanish","Monsoon",36,0.52,13.3,1.32,2.33,2.68,1.65,2.11
"131","Pb","Dewey-Humboldt","Winter",27,0.0263,2.92,0.176,0.676,0.855,0.295,3.88
"132","Pb","Dewey-Humboldt","Monsoon",15,0.0142,3.18,0.292,0.625,0.841,0.31,3.7
"133","Pb","Globe/Miami","Winter",68,0.0785,4.4,0.496,0.812,0.844,0.508,2.72
"134","Pb","Globe/Miami","Monsoon",39,0.0355,27.2,0.946,3.28,5.71,0.997,5
"135","Pb","Hayden/Winkelman","Winter",55,0.0319,19.3,0.621,1.51,3.12,0.623,3.61
"136","Pb","Hayden/Winkelman","Monsoon",18,0.193,23.6,1.03,3.93,6.52,1.25,4.72
"137","Pb","Tucson","Winter",48,0.0377,350,0.369,8.81,50.5,0.53,5.26
"138","Pb","Tucson","Monsoon",21,0.222,75.4,0.861,5.72,16.4,1.28,4.52
"139","Pb","Tucson Spanish","Winter",83,0.0382,20.8,0.492,1.57,3.53,0.571,3.6
"140","Pb","Tucson Spanish","Monsoon",36,0.0484,16.4,1.16,1.9,3.01,0.757,4.42
"141","Sb","Dewey-Humboldt","Winter",27,0.106,1.38,0.254,0.351,0.258,0.293,1.78
"142","Sb","Dewey-Humboldt","Monsoon",15,0.21,0.864,0.512,0.504,0.165,0.477,1.43
