"","analyte","Zip","n","min","max","median","mean","sd","gmean","gsd"
"392","Se","85746",9,0.16,4.8,0.78,1.79,1.93,0.91,3.74
"393","Se","85748",6,0.16,3.63,1.81,1.9,1.28,1.33,3.11
"394","Se","85749",8,0.16,4.8,2.06,2.05,1.55,1.36,3.13
"395","Se","85750",1,0.465,0.465,0.465,0.465,NA,0.465,NA
"396","Se","85756",11,0.277,3.57,2.44,1.93,1.16,1.42,2.61
"397","Se","86314",4,1.24,4.97,3.47,3.29,1.54,2.93,1.82
"398","Se","86327",33,0.16,5.34,1.6,1.79,1.1,1.45,2.06
"399","Se","86333",5,0.19,11.7,0.487,2.95,4.96,0.895,5.55
"400","Se",NA,2,1.26,2.98,2.12,2.12,1.21,1.94,1.84
"401","Sn","85135",22,0.00828,1.01,0.102,0.201,0.266,0.0921,3.87
"402","Sn","85192",51,0.00196,2.94,0.0596,0.168,0.439,0.0561,3.9
"403","Sn","85286",2,0.151,0.182,0.166,0.166,0.0214,0.166,1.14
"404","Sn","85501",83,0.00511,80.7,0.0879,1.39,8.97,0.103,4.5
"405","Sn","85502",17,0.017,13.9,0.109,0.995,3.33,0.134,4.93
"406","Sn","85539",5,0.0153,0.0867,0.044,0.0487,0.0286,0.0411,1.98
"407","Sn","85705",7,0.0274,0.164,0.0573,0.0633,0.0473,0.0527,1.86
"408","Sn","85706",26,0.024,3.21,0.171,0.379,0.629,0.187,3.26
"409","Sn","85711",27,0.011,0.912,0.0489,0.12,0.187,0.064,2.84
"410","Sn","85712",3,0.0298,0.0735,0.0458,0.0497,0.0221,0.0465,1.57
"411","Sn","85713",19,0.015,0.275,0.0699,0.0961,0.0756,0.0731,2.17
"412","Sn","85714",30,0.015,1.76,0.163,0.276,0.358,0.152,3.12
"413","Sn","85716",6,0.0703,0.986,0.152,0.289,0.35,0.184,2.61
"414","Sn","85718",4,0.175,0.732,0.435,0.444,0.306,0.356,2.21
"415","Sn","85719",14,0.018,0.114,0.0393,0.0458,0.0266,0.0404,1.64
"416","Sn","85745",15,0.0518,2.42,0.217,0.494,0.662,0.255,3.13
"417","Sn","85746",9,0.0175,0.242,0.0597,0.0909,0.0749,0.0664,2.37
"418","Sn","85748",6,0.0258,0.536,0.102,0.159,0.193,0.0913,3.14
"419","Sn","85749",8,0.0831,1.65,0.356,0.511,0.5,0.357,2.48
"420","Sn","85750",1,0.112,0.112,0.112,0.112,NA,0.112,NA
"421","Sn","85756",11,0.011,0.611,0.126,0.185,0.169,0.124,2.86
"422","Sn","86314",4,0.011,0.406,0.0286,0.118,0.192,0.0431,4.81
"423","Sn","86327",33,0.011,2.47,0.0618,0.17,0.426,0.0701,3.11
"424","Sn","86333",5,0.0173,0.104,0.031,0.0428,0.0347,0.0351,1.93
"425","Sn",NA,2,0.143,0.152,0.148,0.148,0.00665,0.148,1.05
"426","V","85135",22,0.44,6.24,1.28,1.66,1.36,1.35,1.82
"427","V","85192",51,0.173,17.5,1.69,2.77,2.98,1.87,2.42
"428","V","85286",2,1.45,2.28,1.86,1.86,0.582,1.82,1.37
