"","analyte","score_bin","community","n","min","max","median","mean","sd","gmean","gsd"
"114","Fe","Medium","Globe/Miami",59,7.7,858,43.9,74.9,122,45.7,2.46
"115","Fe","Medium","Hayden/Winkelman",32,5.65,324,29,47.7,59.5,29.9,2.63
"116","Fe","Medium","Tucson",121,3.13,889,34.3,61.9,108,36.4,2.52
"117","Fe","High","Dewey-Humboldt",14,9.96,455,22.3,123,164,46.8,4.33
"118","Fe","High","Globe/Miami",44,5.56,687,35.3,66.6,110,36.5,2.8
"119","Fe","High","Hayden/Winkelman",5,3.92,96.7,12.3,29.1,38.5,15.7,3.36
"120","Fe","High","Tucson",125,1.7,1640,40.4,95,187,45.9,3.06
"121","Mn","None","Dewey-Humboldt",28,0.212,192,3.84,18.7,43.3,4.27,5.2
"122","Mn","None","Globe/Miami",20,0.149,368,10.1,39.3,84.3,9.46,6.76
"123","Mn","None","Hayden/Winkelman",51,0.411,248,11.1,22.5,39.4,10.1,3.62
"124","Mn","None","Tucson",61,0.273,217,2.99,15.2,33,4.57,4.35
"125","Mn","Medium","Dewey-Humboldt",11,0.423,23.7,2.22,5.86,7.3,3.11,3.25
"126","Mn","Medium","Globe/Miami",59,1.02,612,13.5,54,109,14,5.41
"127","Mn","Medium","Hayden/Winkelman",32,0.168,33,5.19,9.06,8.85,4.57,4.39
"128","Mn","Medium","Tucson",121,0.0668,471,2.84,19.6,58.3,3.85,5.31
"129","Mn","High","Dewey-Humboldt",14,0.13,313,6.81,35.3,84,5.44,8.78
"130","Mn","High","Globe/Miami",44,0.408,334,9.33,48.1,81.9,10.7,6.94
"131","Mn","High","Hayden/Winkelman",5,1.23,10.9,5.26,6.02,4.12,4.64,2.43
"132","Mn","High","Tucson",125,0.0787,207,4.58,18.3,36.7,4.99,4.93
"133","Mo","None","Dewey-Humboldt",28,0.0258,11.7,0.205,0.865,2.24,0.255,3.88
"134","Mo","None","Globe/Miami",20,0.145,2.22,0.463,0.633,0.544,0.475,2.13
"135","Mo","None","Hayden/Winkelman",51,0.158,17.9,1.99,3.21,3.62,2.05,2.62
"136","Mo","None","Tucson",61,0.109,11.8,2.45,2.8,1.99,2.24,2.08
"137","Mo","Medium","Dewey-Humboldt",11,0.0183,0.274,0.11,0.129,0.0778,0.105,2.12
"138","Mo","Medium","Globe/Miami",59,0.066,5.48,0.399,0.818,1.07,0.497,2.53
"139","Mo","Medium","Hayden/Winkelman",32,0.113,11.1,1.01,2.25,2.73,1.19,3.27
"140","Mo","Medium","Tucson",121,0.0078,13.9,2.57,2.96,2.02,2.27,2.5
"141","Mo","High","Dewey-Humboldt",14,0.016,11,0.155,1.02,2.89,0.214,4.52
"142","Mo","High","Globe/Miami",44,0.0938,4.71,0.533,0.862,0.947,0.581,2.35
"143","Mo","High","Hayden/Winkelman",5,0.354,2.69,0.831,1.12,0.929,0.872,2.15
"144","Mo","High","Tucson",125,0.168,37.9,2.01,3.73,5.23,2.27,2.53
"145","Ni","None","Dewey-Humboldt",28,0.21,10.7,1.02,1.85,2.27,1.12,2.69
"146","Ni","None","Globe/Miami",20,0.0841,221,0.723,11.9,49.3,0.805,4.9
"147","Ni","None","Hayden/Winkelman",51,0.168,4.46,0.477,0.909,0.962,0.63,2.22
"148","Ni","None","Tucson",61,0.175,11,0.656,1.11,1.67,0.716,2.26
"149","Ni","Medium","Dewey-Humboldt",11,0.247,1.52,0.464,0.583,0.357,0.512,1.66
"150","Ni","Medium","Globe/Miami",59,0.189,466,0.897,11.2,60.9,1.19,4.52
"151","Ni","Medium","Hayden/Winkelman",32,0.083,1.72,0.605,0.624,0.366,0.512,2
"152","Ni","Medium","Tucson",121,0.0611,7.12,0.751,1.13,1.14,0.775,2.38
"153","Ni","High","Dewey-Humboldt",14,0.0571,59.7,0.47,5.26,15.7,0.739,5.84
"154","Ni","High","Globe/Miami",44,0.118,24.8,0.74,3.64,6.25,1.24,4.13
"155","Ni","High","Hayden/Winkelman",5,0.13,0.95,0.272,0.374,0.33,0.293,2.1
"156","Ni","High","Tucson",125,0.13,17.4,0.83,1.69,2.56,0.972,2.57
"157","Pb","None","Dewey-Humboldt",28,0.0142,3.74,0.195,0.687,0.878,0.317,3.79
"158","Pb","None","Globe/Miami",20,0.0355,2.87,0.802,1.02,0.809,0.679,3.02
"159","Pb","None","Hayden/Winkelman",51,0.0554,23.6,1.37,3.67,5.84,1.52,3.83
"160","Pb","None","Tucson",61,0.0754,264,0.909,7.19,34.2,1.09,4.61
"161","Pb","Medium","Dewey-Humboldt",11,0.0394,0.583,0.136,0.181,0.143,0.147,1.93
"162","Pb","Medium","Globe/Miami",59,0.0767,15.6,0.754,1.79,3.14,0.71,3.8
"163","Pb","Medium","Hayden/Winkelman",32,0.0319,20.8,0.385,2.1,4.77,0.497,4.53
